image,name of stamp,price,day,month,year,class
dataset/augmented\194_augmented_3.jpg,Indians in First World War,5,20,8,2019.0,194
dataset/augmented\194_augmented_4.jpg,Indians in First World War,5,20,8,2019.0,194
dataset/augmented\194_augmented_5.jpg,Indians in First World War,5,20,8,2019.0,194
dataset/augmented\194_augmented_6.jpg,Indians in First World War,5,20,8,2019.0,194
dataset/augmented\194_augmented_7.jpg,Indians in First World War,5,20,8,2019.0,194
dataset/augmented\194_augmented_8.jpg,Indians in First World War,5,20,8,2019.0,194
dataset/augmented\194_augmented_9.jpg,Indians in First World War,5,20,8,2019.0,194
dataset/augmented\194_augmented_10.jpg,Indians in First World War,5,20,8,2019.0,194
dataset/augmented\195_augmented_1.jpg,Indians in First World War,5,20,8,2019.0,195
dataset/augmented\195_augmented_2.jpg,Indians in First World War,5,20,8,2019.0,195
dataset/augmented\195_augmented_3.jpg,Indians in First World War,5,20,8,2019.0,195
dataset/augmented\195_augmented_4.jpg,Indians in First World War,5,20,8,2019.0,195
dataset/augmented\195_augmented_5.jpg,Indians in First World War,5,20,8,2019.0,195
dataset/augmented\195_augmented_6.jpg,Indians in First World War,5,20,8,2019.0,195
dataset/augmented\195_augmented_7.jpg,Indians in First World War,5,20,8,2019.0,195
dataset/augmented\195_augmented_8.jpg,Indians in First World War,5,20,8,2019.0,195
dataset/augmented\195_augmented_9.jpg,Indians in First World War,5,20,8,2019.0,195
dataset/augmented\195_augmented_10.jpg,Indians in First World War,5,20,8,2019.0,195
dataset/augmented\196_augmented_1.jpg,Indians in First World War,5,20,8,2019.0,196
dataset/augmented\196_augmented_2.jpg,Indians in First World War,5,20,8,2019.0,196
dataset/augmented\196_augmented_3.jpg,Indians in First World War,5,20,8,2019.0,196
dataset/augmented\196_augmented_4.jpg,Indians in First World War,5,20,8,2019.0,196
dataset/augmented\196_augmented_5.jpg,Indians in First World War,5,20,8,2019.0,196
dataset/augmented\196_augmented_6.jpg,Indians in First World War,5,20,8,2019.0,196
dataset/augmented\196_augmented_7.jpg,Indians in First World War,5,20,8,2019.0,196
dataset/augmented\196_augmented_8.jpg,Indians in First World War,5,20,8,2019.0,196
dataset/augmented\196_augmented_9.jpg,Indians in First World War,5,20,8,2019.0,196
dataset/augmented\196_augmented_10.jpg,Indians in First World War,5,20,8,2019.0,196
dataset/augmented\197_augmented_1.jpg,Indians in First World War,5,20,8,2019.0,197
dataset/augmented\197_augmented_2.jpg,Indians in First World War,5,20,8,2019.0,197
dataset/augmented\197_augmented_3.jpg,Indians in First World War,5,20,8,2019.0,197
dataset/augmented\197_augmented_4.jpg,Indians in First World War,5,20,8,2019.0,197
dataset/augmented\197_augmented_5.jpg,Indians in First World War,5,20,8,2019.0,197
dataset/augmented\197_augmented_6.jpg,Indians in First World War,5,20,8,2019.0,197
dataset/augmented\197_augmented_7.jpg,Indians in First World War,5,20,8,2019.0,197
dataset/augmented\197_augmented_8.jpg,Indians in First World War,5,20,8,2019.0,197
dataset/augmented\197_augmented_9.jpg,Indians in First World War,5,20,8,2019.0,197
dataset/augmented\197_augmented_10.jpg,Indians in First World War,5,20,8,2019.0,197
dataset/augmented\198_augmented_1.jpg,Indians in First World War,5,20,8,2019.0,198
dataset/augmented\198_augmented_2.jpg,Indians in First World War,5,20,8,2019.0,198
dataset/augmented\198_augmented_3.jpg,Indians in First World War,5,20,8,2019.0,198
dataset/augmented\198_augmented_4.jpg,Indians in First World War,5,20,8,2019.0,198
dataset/augmented\198_augmented_5.jpg,Indians in First World War,5,20,8,2019.0,198
dataset/augmented\198_augmented_6.jpg,Indians in First World War,5,20,8,2019.0,198
dataset/augmented\198_augmented_7.jpg,Indians in First World War,5,20,8,2019.0,198
dataset/augmented\198_augmented_8.jpg,Indians in First World War,5,20,8,2019.0,198
dataset/augmented\198_augmented_9.jpg,Indians in First World War,5,20,8,2019.0,198
dataset/augmented\198_augmented_10.jpg,Indians in First World War,5,20,8,2019.0,198
dataset/augmented\199_augmented_1.jpg,Indians in First World War,5,20,8,2019.0,199
dataset/augmented\199_augmented_2.jpg,Indians in First World War,5,20,8,2019.0,199
dataset/augmented\199_augmented_3.jpg,Indians in First World War,5,20,8,2019.0,199
dataset/augmented\199_augmented_4.jpg,Indians in First World War,5,20,8,2019.0,199
dataset/augmented\199_augmented_5.jpg,Indians in First World War,5,20,8,2019.0,199
dataset/augmented\199_augmented_6.jpg,Indians in First World War,5,20,8,2019.0,199
dataset/augmented\199_augmented_7.jpg,Indians in First World War,5,20,8,2019.0,199
dataset/augmented\199_augmented_8.jpg,Indians in First World War,5,20,8,2019.0,199
dataset/augmented\199_augmented_9.jpg,Indians in First World War,5,20,8,2019.0,199
dataset/augmented\199_augmented_10.jpg,Indians in First World War,5,20,8,2019.0,199
dataset/augmented\200_augmented_1.jpg,Indians in First World War,5,20,8,2019.0,200
dataset/augmented\200_augmented_2.jpg,Indians in First World War,5,20,8,2019.0,200
dataset/augmented\200_augmented_3.jpg,Indians in First World War,5,20,8,2019.0,200
dataset/augmented\200_augmented_4.jpg,Indians in First World War,5,20,8,2019.0,200
dataset/augmented\200_augmented_5.jpg,Indians in First World War,5,20,8,2019.0,200
dataset/augmented\200_augmented_6.jpg,Indians in First World War,5,20,8,2019.0,200
dataset/augmented\200_augmented_7.jpg,Indians in First World War,5,20,8,2019.0,200
dataset/augmented\200_augmented_8.jpg,Indians in First World War,5,20,8,2019.0,200
dataset/augmented\200_augmented_9.jpg,Indians in First World War,5,20,8,2019.0,200
dataset/augmented\200_augmented_10.jpg,Indians in First World War,5,20,8,2019.0,200
dataset/augmented\201_augmented_1.jpg,Indians in First World War,5,20,8,2019.0,201
dataset/augmented\201_augmented_2.jpg,Indians in First World War,5,20,8,2019.0,201
dataset/augmented\201_augmented_3.jpg,Indians in First World War,5,20,8,2019.0,201
dataset/augmented\201_augmented_4.jpg,Indians in First World War,5,20,8,2019.0,201
dataset/augmented\201_augmented_5.jpg,Indians in First World War,5,20,8,2019.0,201
dataset/augmented\201_augmented_6.jpg,Indians in First World War,5,20,8,2019.0,201
dataset/augmented\201_augmented_7.jpg,Indians in First World War,5,20,8,2019.0,201
dataset/augmented\201_augmented_8.jpg,Indians in First World War,5,20,8,2019.0,201
dataset/augmented\201_augmented_9.jpg,Indians in First World War,5,20,8,2019.0,201
dataset/augmented\201_augmented_10.jpg,Indians in First World War,5,20,8,2019.0,201
dataset/augmented\202_augmented_1.jpg,Indians in First World War,5,20,8,2019.0,202
dataset/augmented\202_augmented_2.jpg,Indians in First World War,5,20,8,2019.0,202
dataset/augmented\202_augmented_3.jpg,Indians in First World War,5,20,8,2019.0,202
dataset/augmented\202_augmented_4.jpg,Indians in First World War,5,20,8,2019.0,202
dataset/augmented\202_augmented_5.jpg,Indians in First World War,5,20,8,2019.0,202
dataset/augmented\202_augmented_6.jpg,Indians in First World War,5,20,8,2019.0,202
dataset/augmented\202_augmented_7.jpg,Indians in First World War,5,20,8,2019.0,202
dataset/augmented\202_augmented_8.jpg,Indians in First World War,5,20,8,2019.0,202
dataset/augmented\202_augmented_9.jpg,Indians in First World War,5,20,8,2019.0,202
dataset/augmented\202_augmented_10.jpg,Indians in First World War,5,20,8,2019.0,202
dataset/augmented\203_augmented_1.jpg,Indians in First World War,5,20,8,2019.0,203
dataset/augmented\203_augmented_2.jpg,Indians in First World War,5,20,8,2019.0,203
dataset/augmented\203_augmented_3.jpg,Indians in First World War,5,20,8,2019.0,203
dataset/augmented\203_augmented_4.jpg,Indians in First World War,5,20,8,2019.0,203
dataset/augmented\203_augmented_5.jpg,Indians in First World War,5,20,8,2019.0,203
dataset/augmented\203_augmented_6.jpg,Indians in First World War,5,20,8,2019.0,203
dataset/augmented\203_augmented_7.jpg,Indians in First World War,5,20,8,2019.0,203
dataset/augmented\203_augmented_8.jpg,Indians in First World War,5,20,8,2019.0,203
dataset/augmented\203_augmented_9.jpg,Indians in First World War,5,20,8,2019.0,203
dataset/augmented\203_augmented_10.jpg,Indians in First World War,5,20,8,2019.0,203
dataset/augmented\204_augmented_1.jpg,Indians in First World War,5,20,8,2019.0,204
dataset/augmented\204_augmented_2.jpg,Indians in First World War,5,20,8,2019.0,204
dataset/augmented\204_augmented_3.jpg,Indians in First World War,5,20,8,2019.0,204
dataset/augmented\204_augmented_4.jpg,Indians in First World War,5,20,8,2019.0,204
dataset/augmented\204_augmented_5.jpg,Indians in First World War,5,20,8,2019.0,204
dataset/augmented\204_augmented_6.jpg,Indians in First World War,5,20,8,2019.0,204
dataset/augmented\204_augmented_7.jpg,Indians in First World War,5,20,8,2019.0,204
dataset/augmented\204_augmented_8.jpg,Indians in First World War,5,20,8,2019.0,204
dataset/augmented\204_augmented_9.jpg,Indians in First World War,5,20,8,2019.0,204
dataset/augmented\204_augmented_10.jpg,Indians in First World War,5,20,8,2019.0,204
dataset/augmented\205_augmented_1.jpg,Indians in First World War,5,20,8,2019.0,205
dataset/augmented\205_augmented_2.jpg,Indians in First World War,5,20,8,2019.0,205
dataset/augmented\205_augmented_3.jpg,Indians in First World War,5,20,8,2019.0,205
dataset/augmented\205_augmented_4.jpg,Indians in First World War,5,20,8,2019.0,205
dataset/augmented\205_augmented_5.jpg,Indians in First World War,5,20,8,2019.0,205
dataset/augmented\205_augmented_6.jpg,Indians in First World War,5,20,8,2019.0,205
dataset/augmented\205_augmented_7.jpg,Indians in First World War,5,20,8,2019.0,205
dataset/augmented\205_augmented_8.jpg,Indians in First World War,5,20,8,2019.0,205
dataset/augmented\205_augmented_9.jpg,Indians in First World War,5,20,8,2019.0,205
dataset/augmented\205_augmented_10.jpg,Indians in First World War,5,20,8,2019.0,205
dataset/augmented\206_augmented_1.jpg,Indians in First World War,5,20,8,2019.0,206
dataset/augmented\206_augmented_2.jpg,Indians in First World War,5,20,8,2019.0,206
dataset/augmented\206_augmented_3.jpg,Indians in First World War,5,20,8,2019.0,206
dataset/augmented\206_augmented_4.jpg,Indians in First World War,5,20,8,2019.0,206
dataset/augmented\206_augmented_5.jpg,Indians in First World War,5,20,8,2019.0,206
dataset/augmented\206_augmented_6.jpg,Indians in First World War,5,20,8,2019.0,206
dataset/augmented\206_augmented_7.jpg,Indians in First World War,5,20,8,2019.0,206
dataset/augmented\206_augmented_8.jpg,Indians in First World War,5,20,8,2019.0,206
dataset/augmented\206_augmented_9.jpg,Indians in First World War,5,20,8,2019.0,206
dataset/augmented\206_augmented_10.jpg,Indians in First World War,5,20,8,2019.0,206
dataset/augmented\207_augmented_1.jpg,Indians in First World War,5,20,8,2019.0,207
dataset/augmented\207_augmented_2.jpg,Indians in First World War,5,20,8,2019.0,207
dataset/augmented\207_augmented_3.jpg,Indians in First World War,5,20,8,2019.0,207
dataset/augmented\207_augmented_4.jpg,Indians in First World War,5,20,8,2019.0,207
dataset/augmented\207_augmented_5.jpg,Indians in First World War,5,20,8,2019.0,207
dataset/augmented\207_augmented_6.jpg,Indians in First World War,5,20,8,2019.0,207
dataset/augmented\207_augmented_7.jpg,Indians in First World War,5,20,8,2019.0,207
dataset/augmented\207_augmented_8.jpg,Indians in First World War,5,20,8,2019.0,207
dataset/augmented\207_augmented_9.jpg,Indians in First World War,5,20,8,2019.0,207
dataset/augmented\207_augmented_10.jpg,Indians in First World War,5,20,8,2019.0,207
dataset/augmented\208_augmented_1.jpg,Gandhian Heritage in Modern India,15,15,8,2019.0,208
dataset/augmented\208_augmented_2.jpg,Gandhian Heritage in Modern India,15,15,8,2019.0,208
dataset/augmented\208_augmented_3.jpg,Gandhian Heritage in Modern India,15,15,8,2019.0,208
dataset/augmented\208_augmented_4.jpg,Gandhian Heritage in Modern India,15,15,8,2019.0,208
dataset/augmented\208_augmented_5.jpg,Gandhian Heritage in Modern India,15,15,8,2019.0,208
dataset/augmented\208_augmented_6.jpg,Gandhian Heritage in Modern India,15,15,8,2019.0,208
dataset/augmented\208_augmented_7.jpg,Gandhian Heritage in Modern India,15,15,8,2019.0,208
dataset/augmented\208_augmented_8.jpg,Gandhian Heritage in Modern India,15,15,8,2019.0,208
dataset/augmented\208_augmented_9.jpg,Gandhian Heritage in Modern India,15,15,8,2019.0,208
dataset/augmented\208_augmented_10.jpg,Gandhian Heritage in Modern India,15,15,8,2019.0,208
dataset/augmented\209_augmented_1.jpg,Gandhian Heritage in Modern India,25,15,8,2019.0,209
dataset/augmented\209_augmented_2.jpg,Gandhian Heritage in Modern India,25,15,8,2019.0,209
dataset/augmented\209_augmented_3.jpg,Gandhian Heritage in Modern India,25,15,8,2019.0,209
dataset/augmented\209_augmented_4.jpg,Gandhian Heritage in Modern India,25,15,8,2019.0,209
dataset/augmented\209_augmented_5.jpg,Gandhian Heritage in Modern India,25,15,8,2019.0,209
dataset/augmented\209_augmented_6.jpg,Gandhian Heritage in Modern India,25,15,8,2019.0,209
dataset/augmented\209_augmented_7.jpg,Gandhian Heritage in Modern India,25,15,8,2019.0,209
dataset/augmented\209_augmented_8.jpg,Gandhian Heritage in Modern India,25,15,8,2019.0,209
dataset/augmented\209_augmented_9.jpg,Gandhian Heritage in Modern India,25,15,8,2019.0,209
dataset/augmented\209_augmented_10.jpg,Gandhian Heritage in Modern India,25,15,8,2019.0,209
dataset/augmented\210_augmented_1.jpg,Princess Suriratna,25,30,7,2019.0,210
dataset/augmented\210_augmented_2.jpg,Princess Suriratna,25,30,7,2019.0,210
dataset/augmented\210_augmented_3.jpg,Princess Suriratna,25,30,7,2019.0,210
dataset/augmented\210_augmented_4.jpg,Princess Suriratna,25,30,7,2019.0,210
dataset/augmented\210_augmented_5.jpg,Princess Suriratna,25,30,7,2019.0,210
dataset/augmented\210_augmented_6.jpg,Princess Suriratna,25,30,7,2019.0,210
dataset/augmented\210_augmented_7.jpg,Princess Suriratna,25,30,7,2019.0,210
dataset/augmented\210_augmented_8.jpg,Princess Suriratna,25,30,7,2019.0,210
dataset/augmented\210_augmented_9.jpg,Princess Suriratna,25,30,7,2019.0,210
dataset/augmented\210_augmented_10.jpg,Princess Suriratna,25,30,7,2019.0,210
dataset/augmented\211_augmented_1.jpg,Queen Heo,5,30,7,2019.0,211
dataset/augmented\211_augmented_2.jpg,Queen Heo,5,30,7,2019.0,211
dataset/augmented\211_augmented_3.jpg,Queen Heo,5,30,7,2019.0,211
dataset/augmented\211_augmented_4.jpg,Queen Heo,5,30,7,2019.0,211
dataset/augmented\211_augmented_5.jpg,Queen Heo,5,30,7,2019.0,211
dataset/augmented\211_augmented_6.jpg,Queen Heo,5,30,7,2019.0,211
dataset/augmented\211_augmented_7.jpg,Queen Heo,5,30,7,2019.0,211
dataset/augmented\211_augmented_8.jpg,Queen Heo,5,30,7,2019.0,211
dataset/augmented\211_augmented_9.jpg,Queen Heo,5,30,7,2019.0,211
dataset/augmented\211_augmented_10.jpg,Queen Heo,5,30,7,2019.0,211
dataset/augmented\212_augmented_1.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,212
dataset/augmented\212_augmented_2.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,212
dataset/augmented\212_augmented_3.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,212
dataset/augmented\212_augmented_4.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,212
dataset/augmented\212_augmented_5.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,212
dataset/augmented\212_augmented_6.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,212
dataset/augmented\212_augmented_7.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,212
dataset/augmented\212_augmented_8.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,212
dataset/augmented\212_augmented_9.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,212
dataset/augmented\212_augmented_10.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,212
dataset/augmented\213_augmented_1.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,213
dataset/augmented\213_augmented_2.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,213
dataset/augmented\213_augmented_3.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,213
dataset/augmented\213_augmented_4.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,213
dataset/augmented\213_augmented_5.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,213
dataset/augmented\213_augmented_6.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,213
dataset/augmented\213_augmented_7.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,213
dataset/augmented\213_augmented_8.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,213
dataset/augmented\213_augmented_9.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,213
dataset/augmented\213_augmented_10.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,213
dataset/augmented\214_augmented_1.jpg,Indian Perfume Jasmine,25,1,8,2019.0,214
dataset/augmented\214_augmented_2.jpg,Indian Perfume Jasmine,25,1,8,2019.0,214
dataset/augmented\214_augmented_3.jpg,Indian Perfume Jasmine,25,1,8,2019.0,214
dataset/augmented\214_augmented_4.jpg,Indian Perfume Jasmine,25,1,8,2019.0,214
dataset/augmented\214_augmented_5.jpg,Indian Perfume Jasmine,25,1,8,2019.0,214
dataset/augmented\214_augmented_6.jpg,Indian Perfume Jasmine,25,1,8,2019.0,214
dataset/augmented\214_augmented_7.jpg,Indian Perfume Jasmine,25,1,8,2019.0,214
dataset/augmented\214_augmented_8.jpg,Indian Perfume Jasmine,25,1,8,2019.0,214
dataset/augmented\214_augmented_9.jpg,Indian Perfume Jasmine,25,1,8,2019.0,214
dataset/augmented\214_augmented_10.jpg,Indian Perfume Jasmine,25,1,8,2019.0,214
dataset/augmented\215_augmented_1.jpg,Indian Perfume Jasmine,25,1,8,2019.0,215
dataset/augmented\215_augmented_2.jpg,Indian Perfume Jasmine,25,1,8,2019.0,215
dataset/augmented\215_augmented_3.jpg,Indian Perfume Jasmine,25,1,8,2019.0,215
dataset/augmented\215_augmented_4.jpg,Indian Perfume Jasmine,25,1,8,2019.0,215
dataset/augmented\215_augmented_5.jpg,Indian Perfume Jasmine,25,1,8,2019.0,215
dataset/augmented\215_augmented_6.jpg,Indian Perfume Jasmine,25,1,8,2019.0,215
dataset/augmented\215_augmented_7.jpg,Indian Perfume Jasmine,25,1,8,2019.0,215
dataset/augmented\215_augmented_8.jpg,Indian Perfume Jasmine,25,1,8,2019.0,215
dataset/augmented\215_augmented_9.jpg,Indian Perfume Jasmine,25,1,8,2019.0,215
dataset/augmented\215_augmented_10.jpg,Indian Perfume Jasmine,25,1,8,2019.0,215
dataset/augmented\216_augmented_1.jpg,Fakir Mohan College,5,6,7,2019.0,216
dataset/augmented\216_augmented_2.jpg,Fakir Mohan College,5,6,7,2019.0,216
dataset/augmented\216_augmented_3.jpg,Fakir Mohan College,5,6,7,2019.0,216
dataset/augmented\216_augmented_4.jpg,Fakir Mohan College,5,6,7,2019.0,216
dataset/augmented\216_augmented_5.jpg,Fakir Mohan College,5,6,7,2019.0,216
dataset/augmented\216_augmented_6.jpg,Fakir Mohan College,5,6,7,2019.0,216
dataset/augmented\216_augmented_7.jpg,Fakir Mohan College,5,6,7,2019.0,216
dataset/augmented\216_augmented_8.jpg,Fakir Mohan College,5,6,7,2019.0,216
dataset/augmented\216_augmented_9.jpg,Fakir Mohan College,5,6,7,2019.0,216
dataset/augmented\216_augmented_10.jpg,Fakir Mohan College,5,6,7,2019.0,216
dataset/augmented\217_augmented_1.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,217
dataset/augmented\217_augmented_2.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,217
dataset/augmented\217_augmented_3.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,217
dataset/augmented\217_augmented_4.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,217
dataset/augmented\217_augmented_5.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,217
dataset/augmented\217_augmented_6.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,217
dataset/augmented\217_augmented_7.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,217
dataset/augmented\217_augmented_8.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,217
dataset/augmented\217_augmented_9.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,217
dataset/augmented\217_augmented_10.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,217
dataset/augmented\218_augmented_1.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,218
dataset/augmented\218_augmented_2.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,218
dataset/augmented\218_augmented_3.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,218
dataset/augmented\218_augmented_4.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,218
dataset/augmented\218_augmented_5.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,218
dataset/augmented\218_augmented_6.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,218
dataset/augmented\218_augmented_7.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,218
dataset/augmented\218_augmented_8.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,218
dataset/augmented\218_augmented_9.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,218
dataset/augmented\218_augmented_10.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,218
dataset/augmented\219_augmented_1.jpg,traditional,12,12,6,2019.0,219
dataset/augmented\219_augmented_2.jpg,traditional,12,12,6,2019.0,219
dataset/augmented\219_augmented_3.jpg,traditional,12,12,6,2019.0,219
dataset/augmented\219_augmented_4.jpg,traditional,12,12,6,2019.0,219
dataset/augmented\219_augmented_5.jpg,traditional,12,12,6,2019.0,219
dataset/augmented\219_augmented_6.jpg,traditional,12,12,6,2019.0,219
dataset/augmented\219_augmented_7.jpg,traditional,12,12,6,2019.0,219
dataset/augmented\219_augmented_8.jpg,traditional,12,12,6,2019.0,219
dataset/augmented\219_augmented_9.jpg,traditional,12,12,6,2019.0,219
dataset/augmented\219_augmented_10.jpg,traditional,12,12,6,2019.0,219
dataset/augmented\220_augmented_1.jpg,SilverScreen,12,12,6,2019.0,220
dataset/augmented\220_augmented_2.jpg,SilverScreen,12,12,6,2019.0,220
dataset/augmented\220_augmented_3.jpg,SilverScreen,12,12,6,2019.0,220
dataset/augmented\220_augmented_4.jpg,SilverScreen,12,12,6,2019.0,220
dataset/augmented\220_augmented_5.jpg,SilverScreen,12,12,6,2019.0,220
dataset/augmented\220_augmented_6.jpg,SilverScreen,12,12,6,2019.0,220
dataset/augmented\220_augmented_7.jpg,SilverScreen,12,12,6,2019.0,220
dataset/augmented\220_augmented_8.jpg,SilverScreen,12,12,6,2019.0,220
dataset/augmented\220_augmented_9.jpg,SilverScreen,12,12,6,2019.0,220
dataset/augmented\220_augmented_10.jpg,SilverScreen,12,12,6,2019.0,220
dataset/augmented\221_augmented_1.jpg,PatharePrabhu,5,12,6,2019.0,221
dataset/augmented\221_augmented_2.jpg,PatharePrabhu,5,12,6,2019.0,221
dataset/augmented\221_augmented_3.jpg,PatharePrabhu,5,12,6,2019.0,221
dataset/augmented\221_augmented_4.jpg,PatharePrabhu,5,12,6,2019.0,221
dataset/augmented\221_augmented_5.jpg,PatharePrabhu,5,12,6,2019.0,221
dataset/augmented\221_augmented_6.jpg,PatharePrabhu,5,12,6,2019.0,221
dataset/augmented\221_augmented_7.jpg,PatharePrabhu,5,12,6,2019.0,221
dataset/augmented\221_augmented_8.jpg,PatharePrabhu,5,12,6,2019.0,221
dataset/augmented\221_augmented_9.jpg,PatharePrabhu,5,12,6,2019.0,221
dataset/augmented\221_augmented_10.jpg,PatharePrabhu,5,12,6,2019.0,221
dataset/augmented\222_augmented_1.jpg,Brahmika Sari,5,12,6,2019.0,222
dataset/augmented\222_augmented_2.jpg,Brahmika Sari,5,12,6,2019.0,222
dataset/augmented\222_augmented_3.jpg,Brahmika Sari,5,12,6,2019.0,222
dataset/augmented\222_augmented_4.jpg,Brahmika Sari,5,12,6,2019.0,222
dataset/augmented\222_augmented_5.jpg,Brahmika Sari,5,12,6,2019.0,222
dataset/augmented\222_augmented_6.jpg,Brahmika Sari,5,12,6,2019.0,222
dataset/augmented\222_augmented_7.jpg,Brahmika Sari,5,12,6,2019.0,222
dataset/augmented\222_augmented_8.jpg,Brahmika Sari,5,12,6,2019.0,222
dataset/augmented\222_augmented_9.jpg,Brahmika Sari,5,12,6,2019.0,222
dataset/augmented\222_augmented_10.jpg,Brahmika Sari,5,12,6,2019.0,222
dataset/augmented\223_augmented_1.jpg,Vedanta Desikan,5,2,5,2019.0,223
dataset/augmented\223_augmented_2.jpg,Vedanta Desikan,5,2,5,2019.0,223
dataset/augmented\223_augmented_3.jpg,Vedanta Desikan,5,2,5,2019.0,223
dataset/augmented\223_augmented_4.jpg,Vedanta Desikan,5,2,5,2019.0,223
dataset/augmented\223_augmented_5.jpg,Vedanta Desikan,5,2,5,2019.0,223
dataset/augmented\223_augmented_6.jpg,Vedanta Desikan,5,2,5,2019.0,223
dataset/augmented\223_augmented_7.jpg,Vedanta Desikan,5,2,5,2019.0,223
dataset/augmented\223_augmented_8.jpg,Vedanta Desikan,5,2,5,2019.0,223
dataset/augmented\223_augmented_9.jpg,Vedanta Desikan,5,2,5,2019.0,223
dataset/augmented\223_augmented_10.jpg,Vedanta Desikan,5,2,5,2019.0,223
dataset/augmented\224_augmented_1.jpg,100 Years of Jallianwala Bagh Massacre,5,13,4,2019.0,224
dataset/augmented\224_augmented_2.jpg,100 Years of Jallianwala Bagh Massacre,5,13,4,2019.0,224
dataset/augmented\224_augmented_3.jpg,100 Years of Jallianwala Bagh Massacre,5,13,4,2019.0,224
dataset/augmented\224_augmented_4.jpg,100 Years of Jallianwala Bagh Massacre,5,13,4,2019.0,224
dataset/augmented\224_augmented_5.jpg,100 Years of Jallianwala Bagh Massacre,5,13,4,2019.0,224
dataset/augmented\224_augmented_6.jpg,100 Years of Jallianwala Bagh Massacre,5,13,4,2019.0,224
dataset/augmented\224_augmented_7.jpg,100 Years of Jallianwala Bagh Massacre,5,13,4,2019.0,224
dataset/augmented\224_augmented_8.jpg,100 Years of Jallianwala Bagh Massacre,5,13,4,2019.0,224
dataset/augmented\224_augmented_9.jpg,100 Years of Jallianwala Bagh Massacre,5,13,4,2019.0,224
dataset/augmented\224_augmented_10.jpg,100 Years of Jallianwala Bagh Massacre,5,13,4,2019.0,224
dataset/augmented\225_augmented_1.jpg,100 Years of Jallianwala Bagh Massacre,25,13,4,2019.0,225
dataset/augmented\225_augmented_2.jpg,100 Years of Jallianwala Bagh Massacre,25,13,4,2019.0,225
dataset/augmented\225_augmented_3.jpg,100 Years of Jallianwala Bagh Massacre,25,13,4,2019.0,225
dataset/augmented\225_augmented_4.jpg,100 Years of Jallianwala Bagh Massacre,25,13,4,2019.0,225
dataset/augmented\225_augmented_5.jpg,100 Years of Jallianwala Bagh Massacre,25,13,4,2019.0,225
dataset/augmented\225_augmented_6.jpg,100 Years of Jallianwala Bagh Massacre,25,13,4,2019.0,225
dataset/augmented\225_augmented_7.jpg,100 Years of Jallianwala Bagh Massacre,25,13,4,2019.0,225
dataset/augmented\225_augmented_8.jpg,100 Years of Jallianwala Bagh Massacre,25,13,4,2019.0,225
dataset/augmented\225_augmented_9.jpg,100 Years of Jallianwala Bagh Massacre,25,13,4,2019.0,225
dataset/augmented\225_augmented_10.jpg,100 Years of Jallianwala Bagh Massacre,25,13,4,2019.0,225
dataset/augmented\226_augmented_1.jpg,Punjab National Bank,5,12,4,2019.0,226
dataset/augmented\226_augmented_2.jpg,Punjab National Bank,5,12,4,2019.0,226
dataset/augmented\226_augmented_3.jpg,Punjab National Bank,5,12,4,2019.0,226
dataset/augmented\226_augmented_4.jpg,Punjab National Bank,5,12,4,2019.0,226
